run_id,algorithm,threads,pid,cpu_percent,memory_mb,num_threads,context_switches,uptime,timestamp,total_runtime
86,bubble,1,3626,96.5,5.84,2,2,48.11,1749023499.58,86.9
86,bubble,1,3626,105.8,5.84,2,2,48.21,1749023499.68,86.9
86,bubble,1,3626,96.6,5.84,2,2,48.32,1749023499.79,86.9
86,bubble,1,3626,96.4,5.84,2,2,48.42,1749023499.89,86.9
86,bubble,1,3626,106.2,5.84,2,2,48.53,1749023500.0,86.9
86,bubble,1,3626,96.4,5.84,2,2,48.63,1749023500.1,86.9
86,bubble,1,3626,96.5,5.84,2,2,48.73,1749023500.2,86.9
86,bubble,1,3626,106.1,5.84,2,2,48.84,1749023500.31,86.9
86,bubble,1,3626,96.5,5.84,2,2,48.94,1749023500.41,86.9
86,bubble,1,3626,96.4,5.84,2,2,49.04,1749023500.51,86.9
86,bubble,1,3626,106.2,5.84,2,2,49.15,1749023500.62,86.9
86,bubble,1,3626,96.4,5.84,2,2,49.25,1749023500.72,86.9
86,bubble,1,3626,96.5,5.84,2,2,49.35,1749023500.82,86.9
86,bubble,1,3626,106.1,5.84,2,2,49.46,1749023500.93,86.9
86,bubble,1,3626,96.5,5.84,2,2,49.56,1749023501.03,86.9
86,bubble,1,3626,96.4,5.84,2,2,49.67,1749023501.14,86.9
86,bubble,1,3626,106.1,5.84,2,2,49.77,1749023501.24,86.9
86,bubble,1,3626,96.5,5.84,2,2,49.87,1749023501.34,86.9
86,bubble,1,3626,106.1,5.84,2,2,49.98,1749023501.45,86.9
86,bubble,1,3626,96.6,5.84,2,2,50.08,1749023501.55,86.9
86,bubble,1,3626,96.4,5.84,2,2,50.18,1749023501.65,86.9
86,bubble,1,3626,106.2,5.84,2,2,50.29,1749023501.76,86.9
86,bubble,1,3626,96.4,5.84,2,2,50.39,1749023501.86,86.9
86,bubble,1,3626,96.5,5.84,2,2,50.49,1749023501.96,86.9
86,bubble,1,3626,106.0,5.84,2,2,50.6,1749023502.07,86.9
86,bubble,1,3626,96.5,5.84,2,2,50.7,1749023502.17,86.9
86,bubble,1,3626,96.4,5.84,2,2,50.81,1749023502.28,86.9
86,bubble,1,3626,106.1,5.84,2,2,50.91,1749023502.38,86.9
86,bubble,1,3626,96.4,5.84,2,2,51.01,1749023502.48,86.9
86,bubble,1,3626,106.2,5.84,2,2,51.12,1749023502.59,86.9
86,bubble,1,3626,96.4,5.84,2,2,51.22,1749023502.69,86.9
86,bubble,1,3626,96.5,5.84,2,2,51.32,1749023502.79,86.9
86,bubble,1,3626,96.4,5.84,2,2,51.43,1749023502.9,86.9
86,bubble,1,3626,106.1,5.84,2,2,51.53,1749023503.0,86.9
86,bubble,1,3626,96.3,5.84,2,2,51.64,1749023503.11,86.9
86,bubble,1,3626,96.5,5.84,2,2,51.74,1749023503.21,86.9
86,bubble,1,3626,106.1,5.84,2,2,51.84,1749023503.31,86.9
86,bubble,1,3626,96.5,5.84,2,2,51.95,1749023503.42,86.9
86,bubble,1,3626,106.0,5.84,2,2,52.05,1749023503.52,86.9
86,bubble,1,3626,96.5,5.84,2,2,52.15,1749023503.62,86.9
86,bubble,1,3626,96.4,5.84,2,2,52.26,1749023503.73,86.9
86,bubble,1,3626,106.2,5.84,2,2,52.36,1749023503.83,86.9
86,bubble,1,3626,96.4,5.84,2,2,52.46,1749023503.93,86.9
86,bubble,1,3626,96.5,5.84,2,2,52.57,1749023504.04,86.9
86,bubble,1,3626,106.2,5.84,2,2,52.67,1749023504.14,86.9
86,bubble,1,3626,96.4,5.84,2,2,52.78,1749023504.25,86.9
86,bubble,1,3626,96.5,5.84,2,2,52.88,1749023504.35,86.9
86,bubble,1,3626,106.1,5.84,2,2,52.98,1749023504.45,86.9
86,bubble,1,3626,96.5,5.84,2,2,53.09,1749023504.56,86.9
86,bubble,1,3626,106.1,5.84,2,2,53.19,1749023504.66,86.9
86,bubble,1,3626,96.5,5.84,2,2,53.29,1749023504.76,86.9
86,bubble,1,3626,96.4,5.84,2,2,53.4,1749023504.87,86.9
86,bubble,1,3626,105.9,5.84,2,2,53.5,1749023504.97,86.9
86,bubble,1,3626,96.5,5.84,2,2,53.61,1749023505.08,86.9
86,bubble,1,3626,96.2,5.84,2,2,53.71,1749023505.18,86.9
86,bubble,1,3626,106.2,5.84,2,2,53.81,1749023505.28,86.9
86,bubble,1,3626,96.3,5.84,2,2,53.92,1749023505.39,86.9
86,bubble,1,3626,96.5,5.84,2,2,54.02,1749023505.49,86.9
86,bubble,1,3626,106.0,5.84,2,2,54.12,1749023505.59,86.9
86,bubble,1,3626,96.5,5.84,2,2,54.23,1749023505.7,86.9
86,bubble,1,3626,96.4,5.84,2,2,54.33,1749023505.8,86.9
86,bubble,1,3626,106.2,5.84,2,2,54.44,1749023505.91,86.9
86,bubble,1,3626,96.3,5.84,2,2,54.54,1749023506.01,86.9
86,bubble,1,3626,96.5,5.84,2,2,54.64,1749023506.11,86.9
86,bubble,1,3626,106.1,5.84,2,2,54.75,1749023506.22,86.9
86,bubble,1,3626,96.5,5.84,2,2,54.85,1749023506.32,86.9
86,bubble,1,3626,106.1,5.84,2,2,54.95,1749023506.42,86.9
86,bubble,1,3626,96.5,5.84,2,2,55.06,1749023506.53,86.9
86,bubble,1,3626,96.4,5.84,2,2,55.16,1749023506.63,86.9
86,bubble,1,3626,106.2,5.84,2,2,55.26,1749023506.73,86.9
86,bubble,1,3626,96.3,5.84,2,2,55.37,1749023506.84,86.9
86,bubble,1,3626,96.5,5.84,2,2,55.47,1749023506.94,86.9
86,bubble,1,3626,106.0,5.84,2,2,55.58,1749023507.05,86.9
86,bubble,1,3626,96.5,5.84,2,2,55.68,1749023507.15,86.9
86,bubble,1,3626,106.0,5.84,2,2,55.78,1749023507.25,86.9
86,bubble,1,3626,96.5,5.84,2,2,55.89,1749023507.36,86.9
86,bubble,1,3626,96.4,5.84,2,2,55.99,1749023507.46,86.9
86,bubble,1,3626,106.2,5.84,2,2,56.09,1749023507.56,86.9
86,bubble,1,3626,96.4,5.84,2,2,56.2,1749023507.67,86.9
86,bubble,1,3626,96.5,5.84,2,2,56.3,1749023507.77,86.9
86,bubble,1,3626,96.4,5.84,2,2,56.41,1749023507.88,86.9
86,bubble,1,3626,106.1,5.84,2,2,56.51,1749023507.98,86.9
86,bubble,1,3626,96.4,5.84,2,2,56.61,1749023508.08,86.9
86,bubble,1,3626,106.1,5.84,2,2,56.72,1749023508.19,86.9
86,bubble,1,3626,96.4,5.84,2,2,56.82,1749023508.29,86.9
86,bubble,1,3626,96.5,5.84,2,2,56.92,1749023508.39,86.9
86,bubble,1,3626,106.0,5.84,2,2,57.03,1749023508.5,86.9
86,bubble,1,3626,96.5,5.84,2,2,57.13,1749023508.6,86.9
86,bubble,1,3626,96.4,5.84,2,2,57.24,1749023508.71,86.9
86,bubble,1,3626,106.2,5.84,2,2,57.34,1749023508.81,86.9
86,bubble,1,3626,96.5,5.84,2,2,57.44,1749023508.91,86.9
86,bubble,1,3626,96.5,5.84,2,2,57.55,1749023509.02,86.9
86,bubble,1,3626,106.1,5.84,2,2,57.65,1749023509.12,86.9
86,bubble,1,3626,96.4,5.84,2,2,57.75,1749023509.22,86.9
86,bubble,1,3626,106.2,5.84,2,2,57.86,1749023509.33,86.9
86,bubble,1,3626,96.4,5.84,2,2,57.96,1749023509.43,86.9
86,bubble,1,3626,96.5,5.84,2,2,58.06,1749023509.53,86.9
86,bubble,1,3626,106.0,5.84,2,2,58.17,1749023509.64,86.9
86,bubble,1,3626,96.5,5.84,2,2,58.27,1749023509.74,86.9
86,bubble,1,3626,96.4,5.84,2,2,58.38,1749023509.85,86.9
86,bubble,1,3626,106.1,5.84,2,2,58.48,1749023509.95,86.9
86,bubble,1,3626,96.1,5.84,2,2,58.58,1749023510.05,86.9
86,bubble,1,3626,106.0,5.84,2,2,58.69,1749023510.16,86.9
86,bubble,1,3626,96.4,5.84,2,2,58.79,1749023510.26,86.9
86,bubble,1,3626,96.4,5.84,2,2,58.89,1749023510.36,86.9
86,bubble,1,3626,96.3,5.84,2,2,59.0,1749023510.47,86.9
86,bubble,1,3626,106.1,5.84,2,2,59.1,1749023510.57,86.9
86,bubble,1,3626,96.5,5.84,2,2,59.21,1749023510.68,86.9
86,bubble,1,3626,96.4,5.84,2,2,59.31,1749023510.78,86.9
86,bubble,1,3626,106.1,5.84,2,2,59.41,1749023510.88,86.9
86,bubble,1,3626,96.4,5.84,2,2,59.52,1749023510.99,86.9
86,bubble,1,3626,106.1,5.84,2,2,59.62,1749023511.09,86.9
86,bubble,1,3626,96.4,5.84,2,2,59.72,1749023511.19,86.9
86,bubble,1,3626,96.5,5.84,2,2,59.83,1749023511.3,86.9
86,bubble,1,3626,106.0,5.84,2,2,59.93,1749023511.4,86.9
86,bubble,1,3626,96.5,5.84,2,2,60.03,1749023511.5,86.9
86,bubble,1,3626,96.4,5.84,2,2,60.14,1749023511.61,86.9
86,bubble,1,3626,106.1,5.84,2,2,60.24,1749023511.71,86.9
86,bubble,1,3626,96.4,5.84,2,2,60.35,1749023511.82,86.9
86,bubble,1,3626,106.2,5.84,2,2,60.45,1749023511.92,86.9
86,bubble,1,3626,96.4,5.84,2,2,60.55,1749023512.02,86.9
86,bubble,1,3626,96.5,5.84,2,2,60.66,1749023512.13,86.9
86,bubble,1,3626,106.0,5.84,2,2,60.76,1749023512.23,86.9
86,bubble,1,3626,96.5,5.84,2,2,60.86,1749023512.33,86.9
86,bubble,1,3626,96.4,5.84,2,2,60.97,1749023512.44,86.9
86,bubble,1,3626,106.1,5.84,2,2,61.07,1749023512.54,86.9
86,bubble,1,3626,96.4,5.84,2,2,61.18,1749023512.65,86.9
86,bubble,1,3626,96.4,5.84,2,2,61.28,1749023512.75,86.9
86,bubble,1,3626,106.2,5.84,2,2,61.38,1749023512.85,86.9
86,bubble,1,3626,96.5,5.84,2,2,61.49,1749023512.96,86.9
86,bubble,1,3626,96.5,5.84,2,2,61.59,1749023513.06,86.9
86,bubble,1,3626,106.1,5.84,2,2,61.69,1749023513.16,86.9
86,bubble,1,3626,96.5,5.84,2,2,61.8,1749023513.27,86.9
86,bubble,1,3626,96.4,5.84,2,2,61.9,1749023513.37,86.9
86,bubble,1,3626,106.2,5.84,2,2,62.0,1749023513.47,86.9
86,bubble,1,3626,96.4,5.84,2,2,62.11,1749023513.58,86.9
86,bubble,1,3626,96.5,5.84,2,2,62.21,1749023513.68,86.9
86,bubble,1,3626,106.0,5.84,2,2,62.32,1749023513.79,86.9
86,bubble,1,3626,96.5,5.84,2,2,62.42,1749023513.89,86.9
86,bubble,1,3626,106.0,5.84,2,2,62.52,1749023513.99,86.9
86,bubble,1,3626,96.5,5.84,2,2,62.63,1749023514.1,86.9
86,bubble,1,3626,96.4,5.84,2,2,62.73,1749023514.2,86.9
86,bubble,1,3626,106.2,5.84,2,2,62.83,1749023514.3,86.9
86,bubble,1,3626,96.4,5.84,2,2,62.94,1749023514.41,86.9
86,bubble,1,3626,96.5,5.84,2,2,63.04,1749023514.51,86.9
86,bubble,1,3626,106.0,5.84,2,2,63.15,1749023514.62,86.9
86,bubble,1,3626,96.5,5.84,2,2,63.25,1749023514.72,86.9
86,bubble,1,3626,106.0,5.84,2,2,63.35,1749023514.82,86.9
86,bubble,1,3626,96.5,5.84,2,2,63.46,1749023514.93,86.9
86,bubble,1,3626,96.4,5.84,2,2,63.56,1749023515.03,86.9
86,bubble,1,3626,106.1,5.84,2,2,63.66,1749023515.13,86.9
86,bubble,1,3626,96.4,5.84,2,2,63.77,1749023515.24,86.9
86,bubble,1,3626,96.3,5.84,2,2,63.87,1749023515.34,86.9
86,bubble,1,3626,106.1,5.84,2,2,63.98,1749023515.45,86.9
86,bubble,1,3626,96.1,5.84,2,2,64.08,1749023515.55,86.9
86,bubble,1,3626,96.5,5.84,2,2,64.18,1749023515.65,86.9
86,bubble,1,3626,106.0,5.84,2,2,64.29,1749023515.76,86.9
86,bubble,1,3626,96.5,5.84,2,2,64.39,1749023515.86,86.9
86,bubble,1,3626,96.3,5.84,2,2,64.49,1749023515.96,86.9
86,bubble,1,3626,106.1,5.84,2,2,64.6,1749023516.07,86.9
86,bubble,1,3626,96.4,5.84,2,2,64.7,1749023516.17,86.9
86,bubble,1,3626,96.5,5.84,2,2,64.81,1749023516.28,86.9
86,bubble,1,3626,106.0,5.84,2,2,64.91,1749023516.38,86.9
86,bubble,1,3626,96.4,5.84,2,2,65.01,1749023516.48,86.9
86,bubble,1,3626,106.0,5.84,2,2,65.12,1749023516.59,86.9
86,bubble,1,3626,96.5,5.84,2,2,65.22,1749023516.69,86.9
86,bubble,1,3626,96.4,5.84,2,2,65.32,1749023516.79,86.9
86,bubble,1,3626,106.2,5.84,2,2,65.43,1749023516.9,86.9
86,bubble,1,3626,96.3,5.84,2,2,65.53,1749023517.0,86.9
86,bubble,1,3626,96.5,5.84,2,2,65.63,1749023517.1,86.9
86,bubble,1,3626,106.0,5.84,2,2,65.74,1749023517.21,86.9
86,bubble,1,3626,96.5,5.84,2,2,65.84,1749023517.31,86.9
86,bubble,1,3626,96.4,5.84,2,2,65.95,1749023517.42,86.9
86,bubble,1,3626,106.1,5.84,2,2,66.05,1749023517.52,86.9
86,bubble,1,3626,96.4,5.84,2,2,66.15,1749023517.62,86.9
86,bubble,1,3626,106.1,5.84,2,2,66.26,1749023517.73,86.9
86,bubble,1,3626,96.4,5.84,2,2,66.36,1749023517.83,86.9
86,bubble,1,3626,96.5,5.84,2,2,66.46,1749023517.93,86.9
86,bubble,1,3626,105.9,5.84,2,2,66.57,1749023518.04,86.9
86,bubble,1,3626,96.5,5.84,2,2,66.67,1749023518.14,86.9
86,bubble,1,3626,96.3,5.84,2,2,66.78,1749023518.25,86.9
86,bubble,1,3626,96.5,5.84,2,2,66.88,1749023518.35,86.9
86,bubble,1,3626,106.1,5.84,2,2,66.98,1749023518.45,86.9
86,bubble,1,3626,96.5,5.84,2,2,67.09,1749023518.56,86.9
86,bubble,1,3626,106.0,5.84,2,2,67.19,1749023518.66,86.9
86,bubble,1,3626,96.5,5.84,2,2,67.29,1749023518.76,86.9
86,bubble,1,3626,96.4,5.84,2,2,67.4,1749023518.87,86.9
86,bubble,1,3626,106.1,5.84,2,2,67.5,1749023518.97,86.9
86,bubble,1,3626,96.4,5.84,2,2,67.6,1749023519.07,86.9
86,bubble,1,3626,96.5,5.84,2,2,67.71,1749023519.18,86.9
86,bubble,1,3626,106.0,5.84,2,2,67.81,1749023519.28,86.9
86,bubble,1,3626,96.4,5.84,2,2,67.92,1749023519.39,86.9
86,bubble,1,3626,106.0,5.84,2,2,68.02,1749023519.49,86.9
86,bubble,1,3626,96.5,5.84,2,2,68.12,1749023519.59,86.9
86,bubble,1,3626,96.4,5.84,2,2,68.23,1749023519.7,86.9
86,bubble,1,3626,106.2,5.84,2,2,68.33,1749023519.8,86.9
86,bubble,1,3626,96.4,5.84,2,2,68.43,1749023519.9,86.9
86,bubble,1,3626,96.5,5.84,2,2,68.54,1749023520.01,86.9
86,bubble,1,3626,106.0,5.84,2,2,68.64,1749023520.11,86.9
86,bubble,1,3626,96.5,5.84,2,2,68.75,1749023520.22,86.9
86,bubble,1,3626,96.4,5.84,2,2,68.85,1749023520.32,86.9
86,bubble,1,3626,106.1,5.84,2,2,68.95,1749023520.42,86.9
86,bubble,1,3626,96.4,5.84,2,2,69.06,1749023520.53,86.9
86,bubble,1,3626,105.9,5.84,2,2,69.16,1749023520.63,86.9
86,bubble,1,3626,96.4,5.84,2,2,69.26,1749023520.73,86.9
86,bubble,1,3626,96.2,5.84,2,2,69.37,1749023520.84,86.9
86,bubble,1,3626,96.5,5.84,2,2,69.47,1749023520.94,86.9
86,bubble,1,3626,106.0,5.84,2,2,69.58,1749023521.05,86.9
86,bubble,1,3626,96.5,5.84,2,2,69.68,1749023521.15,86.9
86,bubble,1,3626,106.0,5.84,2,2,69.78,1749023521.25,86.9
86,bubble,1,3626,96.5,5.84,2,2,69.89,1749023521.36,86.9
86,bubble,1,3626,96.4,5.84,2,2,69.99,1749023521.46,86.9
86,bubble,1,3626,106.1,5.84,2,2,70.09,1749023521.56,86.9
86,bubble,1,3626,96.4,5.84,2,2,70.2,1749023521.67,86.9
86,bubble,1,3626,96.5,5.84,2,2,70.3,1749023521.77,86.9
86,bubble,1,3626,106.0,5.84,2,2,70.41,1749023521.88,86.9
86,bubble,1,3626,96.5,5.84,2,2,70.51,1749023521.98,86.9
86,bubble,1,3626,96.4,5.84,2,2,70.61,1749023522.08,86.9
86,bubble,1,3626,106.1,5.84,2,2,70.72,1749023522.19,86.9
86,bubble,1,3626,96.4,5.84,2,2,70.82,1749023522.29,86.9
86,bubble,1,3626,106.2,5.84,2,2,70.92,1749023522.39,86.9
86,bubble,1,3626,96.4,5.84,2,2,71.03,1749023522.5,86.9
86,bubble,1,3626,96.5,5.84,2,2,71.13,1749023522.6,86.9
86,bubble,1,3626,106.0,5.84,2,2,71.23,1749023522.7,86.9
86,bubble,1,3626,96.5,5.84,2,2,71.34,1749023522.81,86.9
86,bubble,1,3626,96.3,5.84,2,2,71.44,1749023522.91,86.9
86,bubble,1,3626,106.1,5.84,2,2,71.55,1749023523.02,86.9
86,bubble,1,3626,96.4,5.84,2,2,71.65,1749023523.12,86.9
86,bubble,1,3626,106.2,5.84,2,2,71.75,1749023523.22,86.9
86,bubble,1,3626,96.4,5.84,2,2,71.86,1749023523.33,86.9
86,bubble,1,3626,96.5,5.84,2,2,71.96,1749023523.43,86.9
86,bubble,1,3626,96.4,5.84,2,2,72.06,1749023523.53,86.9
86,bubble,1,3626,106.1,5.84,2,2,72.17,1749023523.64,86.9
86,bubble,1,3626,96.4,5.84,2,2,72.27,1749023523.74,86.9
86,bubble,1,3626,96.5,5.84,2,2,72.38,1749023523.85,86.9
86,bubble,1,3626,106.0,5.84,2,2,72.48,1749023523.95,86.9
86,bubble,1,3626,96.5,5.84,2,2,72.58,1749023524.05,86.9
86,bubble,1,3626,106.0,5.84,2,2,72.69,1749023524.16,86.9
86,bubble,1,3626,96.5,5.84,2,2,72.79,1749023524.26,86.9
86,bubble,1,3626,96.4,5.84,2,2,72.89,1749023524.36,86.9
86,bubble,1,3626,106.1,5.84,2,2,73.0,1749023524.47,86.9
86,bubble,1,3626,96.4,5.84,2,2,73.1,1749023524.57,86.9
86,bubble,1,3626,96.5,5.84,2,2,73.21,1749023524.68,86.9
86,bubble,1,3626,106.0,5.84,2,2,73.31,1749023524.78,86.9
86,bubble,1,3626,96.4,5.84,2,2,73.41,1749023524.88,86.9
86,bubble,1,3626,106.1,5.84,2,2,73.52,1749023524.99,86.9
86,bubble,1,3626,96.5,5.84,2,2,73.62,1749023525.09,86.9
86,bubble,1,3626,96.4,5.84,2,2,73.72,1749023525.19,86.9
86,bubble,1,3626,106.2,5.84,2,2,73.83,1749023525.3,86.9
86,bubble,1,3626,96.4,5.84,2,2,73.93,1749023525.4,86.9
86,bubble,1,3626,96.5,5.84,2,2,74.03,1749023525.5,86.9
86,bubble,1,3626,106.1,5.84,2,2,74.14,1749023525.61,86.9
86,bubble,1,3626,96.3,5.84,2,2,74.24,1749023525.71,86.9
86,bubble,1,3626,96.4,5.84,2,2,74.35,1749023525.82,86.9
86,bubble,1,3626,105.9,5.84,2,2,74.45,1749023525.92,86.9
86,bubble,1,3626,96.4,5.84,2,2,74.55,1749023526.02,86.9
86,bubble,1,3626,96.5,5.84,2,2,74.66,1749023526.13,86.9
86,bubble,1,3626,106.1,5.84,2,2,74.76,1749023526.23,86.9
86,bubble,1,3626,96.5,5.84,2,2,74.86,1749023526.33,86.9
86,bubble,1,3626,96.4,5.84,2,2,74.97,1749023526.44,86.9
86,bubble,1,3626,106.1,5.84,2,2,75.07,1749023526.54,86.9
86,bubble,1,3626,96.4,5.84,2,2,75.18,1749023526.65,86.9
86,bubble,1,3626,96.4,5.84,2,2,75.28,1749023526.75,86.9
86,bubble,1,3626,106.1,5.84,2,2,75.38,1749023526.85,86.9
86,bubble,1,3626,96.5,5.84,2,2,75.49,1749023526.96,86.9
86,bubble,1,3626,106.0,5.84,2,2,75.59,1749023527.06,86.9
86,bubble,1,3626,96.5,5.84,2,2,75.69,1749023527.16,86.9
86,bubble,1,3626,96.4,5.84,2,2,75.8,1749023527.27,86.9
86,bubble,1,3626,106.2,5.84,2,2,75.9,1749023527.37,86.9
86,bubble,1,3626,96.4,5.84,2,2,76.0,1749023527.47,86.9
86,bubble,1,3626,96.5,5.84,2,2,76.11,1749023527.58,86.9
86,bubble,1,3626,106.0,5.84,2,2,76.21,1749023527.68,86.9
86,bubble,1,3626,96.5,5.84,2,2,76.32,1749023527.79,86.9
86,bubble,1,3626,106.0,5.84,2,2,76.42,1749023527.89,86.9
86,bubble,1,3626,96.5,5.84,2,2,76.52,1749023527.99,86.9
86,bubble,1,3626,96.4,5.84,2,2,76.63,1749023528.1,86.9
86,bubble,1,3626,106.1,5.84,2,2,76.73,1749023528.2,86.9
86,bubble,1,3626,96.4,5.84,2,2,76.83,1749023528.3,86.9
86,bubble,1,3626,96.5,5.84,2,2,76.94,1749023528.41,86.9
